t_s,V,I,TDS_ppm
0,0.5,0.145,35000
60,0.5,0.145,34982
120,0.5,0.145,34965
180,0.5,0.145,34948
240,0.5,0.145,34930
300,0.5,0.145,34912
360,0.5,0.145,34895
420,0.5,0.145,34878
480,0.5,0.145,34860
540,0.5,0.145,34842
600,0.5,0.145,34825
660,0.5,0.145,34808
720,0.5,0.145,34790
780,0.5,0.145,34772
840,0.5,0.145,34755
900,0.5,0.145,34738
960,0.5,0.145,34720
1020,0.5,0.145,34702
1080,0.5,0.145,34685
1140,0.5,0.145,34668
1200,0.5,0.145,34650
1260,0.5,0.145,34632
1320,0.5,0.145,34615
1380,0.5,0.145,34598
1440,0.5,0.145,34580
1500,0.5,0.145,34562
1560,0.5,0.145,34545
1620,0.5,0.145,34528
1680,0.5,0.145,34510
1740,0.5,0.145,34492
1800,0.5,0.145,34475
1860,0.5,0.145,34458
1920,0.5,0.145,34440
1980,0.5,0.145,34422
2040,0.5,0.145,34405
2100,0.5,0.145,34388
2160,0.5,0.145,34370
2220,0.5,0.145,34352
2280,0.5,0.145,34335
2340,0.5,0.145,34318
2400,0.5,0.145,34300
2460,0.5,0.145,34282
2520,0.5,0.145,34265
2580,0.5,0.145,34248
2640,0.5,0.145,34230
2700,0.5,0.145,34212
2760,0.5,0.145,34195
2820,0.5,0.145,34178
2880,0.5,0.145,34160
2940,0.5,0.145,34142
3000,0.5,0.145,34125
3060,0.5,0.145,34108
3120,0.5,0.145,34090
3180,0.5,0.145,34072
3240,0.5,0.145,34055
3300,0.5,0.145,34038
3360,0.5,0.145,34020
3420,0.5,0.145,34002
3480,0.5,0.145,33985
3540,0.5,0.145,33968
3600,0.5,0.145,33950
3660,0.5,0.145,33932
3720,0.5,0.145,33915
3780,0.5,0.145,33898
3840,0.5,0.145,33880
3900,0.5,0.145,33862
3960,0.5,0.145,33845
4020,0.5,0.145,33828
4080,0.5,0.145,33810
4140,0.5,0.145,33792
4200,0.5,0.145,33775
4260,0.5,0.145,33758
4320,0.5,0.145,33740
4380,0.5,0.145,33722
4440,0.5,0.145,33705
4500,0.5,0.145,33688
4560,0.5,0.145,33670
4620,0.5,0.145,33652
4680,0.5,0.145,33635
4740,0.5,0.145,33618
4800,0.5,0.145,33600
4860,0.5,0.145,33582
4920,0.5,0.145,33565
4980,0.5,0.145,33548
5040,0.5,0.145,33530
5100,0.5,0.145,33512
5160,0.5,0.145,33495
5220,0.5,0.145,33478
5280,0.5,0.145,33460
5340,0.5,0.145,33442
5400,0.5,0.145,33425
5460,0.5,0.145,33408
5520,0.5,0.145,33390
5580,0.5,0.145,33372
5640,0.5,0.145,33355
5700,0.5,0.145,33338
5760,0.5,0.145,33320
5820,0.5,0.145,33302
5880,0.5,0.145,33285
5940,0.5,0.145,33268
6000,0.5,0.145,33250
6060,0.5,0.145,33232
6120,0.5,0.145,33215
6180,0.5,0.145,33198
6240,0.5,0.145,33180
6300,0.5,0.145,33162
6360,0.5,0.145,33145
6420,0.5,0.145,33128
6480,0.5,0.145,33110
6540,0.5,0.145,33092
6600,0.5,0.145,33075
6660,0.5,0.145,33058
6720,0.5,0.145,33040
6780,0.5,0.145,33022
6840,0.5,0.145,33005
6900,0.5,0.145,32988
6960,0.5,0.145,32970
7020,0.5,0.145,32952
7080,0.5,0.145,32935
7140,0.5,0.145,32918
7200,0.5,0.145,32900
7260,0.5,0.145,32882
7320,0.5,0.145,32865
7380,0.5,0.145,32848
7440,0.5,0.145,32830
7500,0.5,0.145,32812
7560,0.5,0.145,32795
7620,0.5,0.145,32778
7680,0.5,0.145,32760
7740,0.5,0.145,32742
7800,0.5,0.145,32725
7860,0.5,0.145,32708
7920,0.5,0.145,32690
7980,0.5,0.145,32672
8040,0.5,0.145,32655
8100,0.5,0.145,32638
8160,0.5,0.145,32620
8220,0.5,0.145,32602
8280,0.5,0.145,32585
8340,0.5,0.145,32568
8400,0.5,0.145,32550
8460,0.5,0.145,32532
8520,0.5,0.145,32515
8580,0.5,0.145,32498
8640,0.5,0.145,32480
8700,0.5,0.145,32462
8760,0.5,0.145,32445
8820,0.5,0.145,32428
8880,0.5,0.145,32410
8940,0.5,0.145,32392
9000,0.5,0.145,32375
9060,0.5,0.145,32358
9120,0.5,0.145,32340
9180,0.5,0.145,32322
9240,0.5,0.145,32305
9300,0.5,0.145,32288
9360,0.5,0.145,32270
9420,0.5,0.145,32252
9480,0.5,0.145,32235
9540,0.5,0.145,32218
9600,0.5,0.145,32200
9660,0.5,0.145,32182
9720,0.5,0.145,32165
9780,0.5,0.145,32148
9840,0.5,0.145,32130
9900,0.5,0.145,32112
9960,0.5,0.145,32095
10020,0.5,0.145,32078
10080,0.5,0.145,32060
10140,0.5,0.145,32042
10200,0.5,0.145,32025
10260,0.5,0.145,32008
10320,0.5,0.145,31990
10380,0.5,0.145,31972
10440,0.5,0.145,31955
10500,0.5,0.145,31938
10560,0.5,0.145,31920
10620,0.5,0.145,31902
10680,0.5,0.145,31885
10740,0.5,0.145,31868
10800,0.5,0.145,31850
10860,0.5,0.145,31832
10920,0.5,0.145,31815
10980,0.5,0.145,31798
11040,0.5,0.145,31780
11100,0.5,0.145,31762
11160,0.5,0.145,31745
11220,0.5,0.145,31728
11280,0.5,0.145,31710
11340,0.5,0.145,31692
11400,0.5,0.145,31675
11460,0.5,0.145,31658
11520,0.5,0.145,31640
11580,0.5,0.145,31622
11640,0.5,0.145,31605
11700,0.5,0.145,31588
11760,0.5,0.145,31570
11820,0.5,0.145,31552
11880,0.5,0.145,31535
11940,0.5,0.145,31518
12000,0.5,0.145,31500
12060,0.5,0.145,31482
12120,0.5,0.145,31465
12180,0.5,0.145,31448
12240,0.5,0.145,31430
12300,0.5,0.145,31412
12360,0.5,0.145,31395
12420,0.5,0.145,31378
12480,0.5,0.145,31360
12540,0.5,0.145,31342
12600,0.5,0.145,31325
12660,0.5,0.145,31308
12720,0.5,0.145,31290
12780,0.5,0.145,31272
12840,0.5,0.145,31255
12900,0.5,0.145,31238
12960,0.5,0.145,31220
13020,0.5,0.145,31202
13080,0.5,0.145,31185
13140,0.5,0.145,31168
13200,0.5,0.145,31150
13260,0.5,0.145,31132
13320,0.5,0.145,31115
13380,0.5,0.145,31098
13440,0.5,0.145,31080
13500,0.5,0.145,31062
13560,0.5,0.145,31045
13620,0.5,0.145,31028
13680,0.5,0.145,31010
13740,0.5,0.145,30992
13800,0.5,0.145,30975
13860,0.5,0.145,30958
13920,0.5,0.145,30940
13980,0.5,0.145,30922
14040,0.5,0.145,30905
14100,0.5,0.145,30888
14160,0.5,0.145,30870
14220,0.5,0.145,30852
14280,0.5,0.145,30835
14340,0.5,0.145,30818
14400,0.5,0.145,30800
