t_s,V,I,TDS_ppm
0,0.5,0.145,35000
60,0.5,0.145,34964
120,0.5,0.145,34927
180,0.5,0.145,34891
240,0.5,0.145,34854
300,0.5,0.145,34818
360,0.5,0.145,34781
420,0.5,0.145,34745
480,0.5,0.145,34708
540,0.5,0.145,34672
600,0.5,0.145,34635
660,0.5,0.145,34599
720,0.5,0.145,34562
780,0.5,0.145,34526
840,0.5,0.145,34490
900,0.5,0.145,34453
960,0.5,0.145,34417
1020,0.5,0.145,34380
1080,0.5,0.145,34344
1140,0.5,0.145,34307
1200,0.5,0.145,34271
1260,0.5,0.145,34234
1320,0.5,0.145,34198
1380,0.5,0.145,34161
1440,0.5,0.145,34125
1500,0.5,0.145,34089
1560,0.5,0.145,34052
1620,0.5,0.145,34016
1680,0.5,0.145,33979
1740,0.5,0.145,33943
1800,0.5,0.145,33906
1860,0.5,0.145,33870
1920,0.5,0.145,33833
1980,0.5,0.145,33797
2040,0.5,0.145,33760
2100,0.5,0.145,33724
2160,0.5,0.145,33688
2220,0.5,0.145,33651
2280,0.5,0.145,33615
2340,0.5,0.145,33578
2400,0.5,0.145,33542
2460,0.5,0.145,33505
2520,0.5,0.145,33469
2580,0.5,0.145,33432
2640,0.5,0.145,33396
2700,0.5,0.145,33359
2760,0.5,0.145,33323
2820,0.5,0.145,33286
2880,0.5,0.145,33250
2940,0.5,0.145,33214
3000,0.5,0.145,33177
3060,0.5,0.145,33141
3120,0.5,0.145,33104
3180,0.5,0.145,33068
3240,0.5,0.145,33031
3300,0.5,0.145,32995
3360,0.5,0.145,32958
3420,0.5,0.145,32922
3480,0.5,0.145,32885
3540,0.5,0.145,32849
3600,0.5,0.145,32812
3660,0.5,0.145,32776
3720,0.5,0.145,32740
3780,0.5,0.145,32703
3840,0.5,0.145,32667
3900,0.5,0.145,32630
3960,0.5,0.145,32594
4020,0.5,0.145,32557
4080,0.5,0.145,32521
4140,0.5,0.145,32484
4200,0.5,0.145,32448
4260,0.5,0.145,32411
4320,0.5,0.145,32375
4380,0.5,0.145,32339
4440,0.5,0.145,32302
4500,0.5,0.145,32266
4560,0.5,0.145,32229
4620,0.5,0.145,32193
4680,0.5,0.145,32156
4740,0.5,0.145,32120
4800,0.5,0.145,32083
4860,0.5,0.145,32047
4920,0.5,0.145,32010
4980,0.5,0.145,31974
5040,0.5,0.145,31938
5100,0.5,0.145,31901
5160,0.5,0.145,31865
5220,0.5,0.145,31828
5280,0.5,0.145,31792
5340,0.5,0.145,31755
5400,0.5,0.145,31719
5460,0.5,0.145,31682
5520,0.5,0.145,31646
5580,0.5,0.145,31609
5640,0.5,0.145,31573
5700,0.5,0.145,31536
5760,0.5,0.145,31500
5820,0.5,0.145,31464
5880,0.5,0.145,31427
5940,0.5,0.145,31391
6000,0.5,0.145,31354
6060,0.5,0.145,31318
6120,0.5,0.145,31281
6180,0.5,0.145,31245
6240,0.5,0.145,31208
6300,0.5,0.145,31172
6360,0.5,0.145,31135
6420,0.5,0.145,31099
6480,0.5,0.145,31062
6540,0.5,0.145,31026
6600,0.5,0.145,30990
6660,0.5,0.145,30953
6720,0.5,0.145,30917
6780,0.5,0.145,30880
6840,0.5,0.145,30844
6900,0.5,0.145,30807
6960,0.5,0.145,30771
7020,0.5,0.145,30734
7080,0.5,0.145,30698
7140,0.5,0.145,30661
7200,0.5,0.145,30625
7260,0.5,0.145,30589
7320,0.5,0.145,30552
7380,0.5,0.145,30516
7440,0.5,0.145,30479
7500,0.5,0.145,30443
7560,0.5,0.145,30406
7620,0.5,0.145,30370
7680,0.5,0.145,30333
7740,0.5,0.145,30297
7800,0.5,0.145,30260
7860,0.5,0.145,30224
7920,0.5,0.145,30188
7980,0.5,0.145,30151
8040,0.5,0.145,30115
8100,0.5,0.145,30078
8160,0.5,0.145,30042
8220,0.5,0.145,30005
8280,0.5,0.145,29969
8340,0.5,0.145,29932
8400,0.5,0.145,29896
8460,0.5,0.145,29859
8520,0.5,0.145,29823
8580,0.5,0.145,29786
8640,0.5,0.145,29750
8700,0.5,0.145,29714
8760,0.5,0.145,29677
8820,0.5,0.145,29641
8880,0.5,0.145,29604
8940,0.5,0.145,29568
9000,0.5,0.145,29531
9060,0.5,0.145,29495
9120,0.5,0.145,29458
9180,0.5,0.145,29422
9240,0.5,0.145,29385
9300,0.5,0.145,29349
9360,0.5,0.145,29312
9420,0.5,0.145,29276
9480,0.5,0.145,29240
9540,0.5,0.145,29203
9600,0.5,0.145,29167
9660,0.5,0.145,29130
9720,0.5,0.145,29094
9780,0.5,0.145,29057
9840,0.5,0.145,29021
9900,0.5,0.145,28984
9960,0.5,0.145,28948
10020,0.5,0.145,28911
10080,0.5,0.145,28875
10140,0.5,0.145,28839
10200,0.5,0.145,28802
10260,0.5,0.145,28766
10320,0.5,0.145,28729
10380,0.5,0.145,28693
10440,0.5,0.145,28656
10500,0.5,0.145,28620
10560,0.5,0.145,28583
10620,0.5,0.145,28547
10680,0.5,0.145,28510
10740,0.5,0.145,28474
10800,0.5,0.145,28438
10860,0.5,0.145,28401
10920,0.5,0.145,28365
10980,0.5,0.145,28328
11040,0.5,0.145,28292
11100,0.5,0.145,28255
11160,0.5,0.145,28219
11220,0.5,0.145,28182
11280,0.5,0.145,28146
11340,0.5,0.145,28109
11400,0.5,0.145,28073
11460,0.5,0.145,28036
11520,0.5,0.145,28000
11580,0.5,0.145,27964
11640,0.5,0.145,27927
11700,0.5,0.145,27891
11760,0.5,0.145,27854
11820,0.5,0.145,27818
11880,0.5,0.145,27781
11940,0.5,0.145,27745
12000,0.5,0.145,27708
12060,0.5,0.145,27672
12120,0.5,0.145,27635
12180,0.5,0.145,27599
12240,0.5,0.145,27562
12300,0.5,0.145,27526
12360,0.5,0.145,27490
12420,0.5,0.145,27453
12480,0.5,0.145,27417
12540,0.5,0.145,27380
12600,0.5,0.145,27344
12660,0.5,0.145,27307
12720,0.5,0.145,27271
12780,0.5,0.145,27234
12840,0.5,0.145,27198
12900,0.5,0.145,27161
12960,0.5,0.145,27125
13020,0.5,0.145,27089
13080,0.5,0.145,27052
13140,0.5,0.145,27016
13200,0.5,0.145,26979
13260,0.5,0.145,26943
13320,0.5,0.145,26906
13380,0.5,0.145,26870
13440,0.5,0.145,26833
13500,0.5,0.145,26797
13560,0.5,0.145,26760
13620,0.5,0.145,26724
13680,0.5,0.145,26688
13740,0.5,0.145,26651
13800,0.5,0.145,26615
13860,0.5,0.145,26578
13920,0.5,0.145,26542
13980,0.5,0.145,26505
14040,0.5,0.145,26469
14100,0.5,0.145,26432
14160,0.5,0.145,26396
14220,0.5,0.145,26359
14280,0.5,0.145,26323
14340,0.5,0.145,26286
14400,0.5,0.145,26250
