t_s,Vcell_V,ImA,coulombs,H2_pred_mL,relay
0,2.040,4039.0,40.4,5.1,1
10,1.974,3962.2,80.0,10.1,1
20,2.052,4018.8,120.2,15.2,1
30,1.966,4021.3,160.4,20.3,1
40,1.999,3963.3,200.0,25.3,1
50,2.001,4048.1,240.5,30.5,1
60,1.994,3983.7,280.4,35.5,1
70,1.979,4009.9,320.5,40.6,1
80,2.009,4001.6,360.5,45.7,1
90,1.999,4081.9,401.3,50.8,1
100,1.971,4048.9,441.8,56.0,1
110,2.006,4043.6,482.2,61.1,1
120,2.000,3975.2,522.0,66.1,1
130,1.991,4045.8,562.4,71.3,1
140,2.046,4051.9,603.0,76.4,1
150,2.049,4081.2,643.8,81.6,1
160,2.011,3939.4,683.2,86.6,1
170,2.029,3968.3,722.8,91.6,1
180,2.008,4005.3,762.9,96.7,1
190,1.984,4024.3,803.1,101.8,1
200,1.980,4006.5,843.2,106.8,1
210,1.988,4103.9,884.2,112.0,1
220,1.949,4002.6,924.3,117.1,1
230,1.976,3929.3,963.6,122.1,1
240,2.024,4040.8,1004.0,127.2,1
250,1.982,4015.6,1044.1,132.3,1
260,1.971,4092.6,1085.0,137.5,1
270,2.015,3959.8,1124.6,142.5,1
280,2.009,3952.9,1164.2,147.5,1
290,1.999,4049.4,1204.7,152.6,1
300,2.002,4021.8,1244.9,157.7,1
310,1.908,3968.7,1284.6,162.8,1
320,2.001,3941.9,1324.0,167.8,1
330,1.984,3921.1,1363.2,172.7,1
340,2.040,4012.0,1403.3,177.8,1
350,1.985,3934.5,1442.7,182.8,1
360,2.017,4012.9,1482.8,187.9,1
370,2.056,3933.8,1522.1,192.9,1
380,2.033,3961.5,1561.8,197.9,1
390,2.013,3991.9,1601.7,202.9,1
400,2.022,4084.0,1642.5,208.1,1
410,1.971,4008.2,1682.6,213.2,1
420,1.959,3969.5,1722.3,218.2,1
430,1.955,4101.4,1763.3,223.4,1
440,2.050,3874.6,1802.0,228.3,1
450,1.990,4064.9,1842.7,233.5,1
460,1.977,4043.1,1883.1,238.6,1
470,2.016,3973.3,1922.9,243.6,1
480,1.987,4021.2,1963.1,248.7,1
490,2.023,4082.0,2003.9,253.9,1
500,1.966,4008.6,2044.0,259.0,1
510,1.992,4008.5,2084.1,264.1,1
520,2.025,3997.9,2124.0,269.1,1
530,2.009,3973.2,2163.8,274.2,1
540,2.012,4041.2,2204.2,279.3,1
550,1.949,4115.4,2245.3,284.5,1
560,1.966,3998.5,2285.3,289.6,1
570,2.076,3998.2,2325.3,294.6,1
580,1.992,3920.3,2364.5,299.6,1
590,2.004,4034.0,2404.9,304.7,1
600,1.955,4046.9,2445.3,309.8,1
610,1.972,4049.9,2485.8,315.0,1
620,2.018,3941.0,2525.2,320.0,1
630,1.979,4025.1,2565.5,325.1,1
640,1.995,3960.7,2605.1,330.1,1
650,1.996,4000.8,2645.1,335.1,1
660,1.932,3950.9,2684.6,340.1,1
670,2.006,4066.4,2725.3,345.3,1
680,1.954,3939.6,2764.7,350.3,1
690,1.988,3966.7,2804.3,355.3,1
700,2.042,3895.3,2843.3,360.3,1
710,1.991,4022.2,2883.5,365.4,1
720,2.007,4018.4,2923.7,370.4,1
730,2.005,4053.7,2964.2,375.6,1
740,2.047,4063.7,3004.9,380.7,1
750,1.987,3985.4,3044.7,385.8,1
760,1.994,3957.0,3084.3,390.8,1
770,2.001,3964.8,3123.9,395.8,1
780,2.017,4016.0,3164.1,400.9,1
790,2.033,3943.4,3203.5,405.9,1
800,1.997,3985.4,3243.4,410.9,1
810,1.941,3975.2,3283.1,416.0,1
820,1.948,4013.4,3323.3,421.1,1
830,2.002,4055.8,3363.8,426.2,1
840,2.020,4078.3,3404.6,431.4,1
850,2.042,4035.7,3445.0,436.5,1
860,2.046,3998.6,3485.0,441.6,1
870,2.008,3994.3,3524.9,446.6,1
880,2.017,3967.0,3564.6,451.6,1
890,1.985,4033.9,3604.9,456.8,1
900,1.999,3936.9,3644.3,461.7,1
910,1.996,4021.6,3684.5,466.8,1
920,1.979,3952.1,3724.0,471.8,1
930,1.922,3987.4,3763.9,476.9,1
940,2.043,3971.4,3803.6,481.9,1
950,1.994,3936.7,3843.0,486.9,1
960,2.021,4084.5,3883.8,492.1,1
970,1.996,4046.3,3924.3,497.2,1
980,2.086,3934.4,3963.6,502.2,1
990,2.007,4015.5,4003.8,507.3,1
1000,2.024,4082.2,4044.6,512.5,1
1010,1.967,4003.4,4084.6,517.5,1
1020,1.996,3992.8,4124.6,522.6,1
1030,1.974,3966.8,4164.2,527.6,1
1040,1.997,3950.6,4203.7,532.6,1
1050,2.012,3970.9,4243.4,537.7,1
1060,2.010,4050.8,4284.0,542.8,1
1070,2.047,4001.4,4324.0,547.9,1
1080,1.956,4032.9,4364.3,553.0,1
1090,2.006,3964.7,4403.9,558.0,1
1100,2.023,3956.6,4443.5,563.0,1
1110,1.943,3913.1,4482.6,568.0,1
1120,2.018,4049.1,4523.1,573.1,1
1130,2.002,3920.6,4562.3,578.1,1
1140,1.967,4067.2,4603.0,583.2,1
1150,1.964,3941.1,4642.4,588.2,1
1160,1.948,3951.3,4681.9,593.2,1
1170,1.957,3976.1,4721.7,598.3,1
1180,2.067,4003.3,4761.7,603.3,1
1190,2.027,3947.9,4801.2,608.3,1
1200,1.931,4058.3,4841.8,613.5,1
1210,2.000,4005.6,4881.8,618.5,1
1220,2.024,3983.4,4921.7,623.6,1
1230,2.011,3978.3,4961.5,628.6,1
1240,1.996,3980.8,5001.3,633.7,1
1250,2.068,3961.1,5040.9,638.7,1
1260,1.967,3997.3,5080.9,643.8,1
1270,2.047,4097.2,5121.8,649.0,1
1280,1.980,3990.3,5161.7,654.0,1
1290,2.037,3963.4,5201.4,659.0,1
1300,1.979,3983.8,5241.2,664.1,1
1310,1.992,4042.0,5281.6,669.2,1
1320,2.058,3997.4,5321.6,674.3,1
1330,2.037,4043.1,5362.0,679.4,1
1340,2.039,4020.9,5402.2,684.5,1
1350,2.029,3991.6,5442.2,689.5,1
1360,1.988,4052.2,5482.7,694.7,1
1370,2.016,3936.1,5522.0,699.7,1
1380,2.018,3994.1,5562.0,704.7,1
1390,2.016,3970.1,5601.7,709.8,1
1400,2.071,4048.0,5642.2,714.9,1
1410,2.012,4089.1,5683.0,720.1,1
1420,1.981,4071.6,5723.8,725.2,1
1430,2.004,4058.6,5764.4,730.4,1
1440,2.010,4066.3,5805.0,735.5,1
1450,1.979,3988.6,5844.9,740.6,1
1460,2.002,4062.6,5885.5,745.7,1
1470,2.014,4035.6,5925.9,750.8,1
1480,2.018,3898.3,5964.9,755.8,1
1490,2.012,3981.6,6004.7,760.8,1
1500,1.946,4024.1,6044.9,765.9,1
1510,1.998,3984.4,6084.8,771.0,1
1520,2.028,4019.4,6125.0,776.1,1
1530,1.993,3966.2,6164.6,781.1,1
1540,1.945,4031.1,6204.9,786.2,1
1550,1.972,4092.4,6245.9,791.4,1
1560,2.004,4065.6,6286.5,796.5,1
1570,2.031,4093.8,6327.5,801.7,1
1580,1.949,3998.4,6367.4,806.8,1
1590,2.010,4006.6,6407.5,811.9,1
1600,1.962,4027.2,6447.8,817.0,1
1610,1.977,3958.9,6487.4,822.0,1
1620,1.974,4014.1,6527.5,827.1,1
1630,2.028,3994.2,6567.4,832.1,1
1640,2.040,3979.1,6607.2,837.2,1
1650,1.993,4014.8,6647.4,842.2,1
1660,2.015,4054.5,6687.9,847.4,1
1670,1.982,3985.8,6727.8,852.4,1
1680,2.010,3997.8,6767.8,857.5,1
1690,2.008,4056.9,6808.3,862.6,1
1700,1.960,3969.3,6848.0,867.7,1
1710,2.012,4012.8,6888.2,872.8,1
1720,1.984,4056.4,6928.7,877.9,1
1730,2.025,3935.7,6968.1,882.9,1
1740,1.964,3991.5,7008.0,887.9,1
1750,2.027,4082.6,7048.8,893.1,1
1760,2.008,4003.2,7088.9,898.2,1
1770,2.030,3963.0,7128.5,903.2,1
1780,1.987,3978.6,7168.3,908.2,1
1790,1.966,3985.4,7208.1,913.3,1
1800,2.050,4051.2,7248.6,918.4,1
