t_s,Vcell_V,ImA,coulombs,H2_pred_mL,relay
0,2.015,3987.2,39.9,5.1,1
10,1.991,3988.7,79.8,10.1,1
20,1.994,3953.5,119.3,15.1,1
30,2.013,4055.6,159.8,20.3,1
40,2.007,4051.8,200.4,25.4,1
50,2.006,4019.7,240.6,30.5,1
60,2.026,3916.7,279.7,35.4,1
70,2.015,4025.3,320.0,40.5,1
80,1.948,3915.4,359.1,45.5,1
90,1.986,3955.5,398.7,50.5,1
100,1.999,4015.3,438.8,55.6,1
110,1.981,4026.0,479.1,60.7,1
120,2.012,4015.4,519.3,65.8,1
130,2.052,3966.9,558.9,70.8,1
140,2.036,4027.8,599.2,75.9,1
150,1.978,3969.0,638.9,81.0,1
160,1.997,3982.8,678.7,86.0,1
170,2.007,4031.6,719.0,91.1,1
180,1.971,3977.6,758.8,96.1,1
190,2.037,3974.0,798.6,101.2,1
200,2.007,3959.6,838.2,106.2,1
210,1.955,4021.3,878.4,111.3,1
220,2.039,4002.4,918.4,116.4,1
230,1.990,3899.3,957.4,121.3,1
240,1.975,3994.7,997.3,126.4,1
250,1.998,4024.9,1037.6,131.5,1
260,2.025,3926.8,1076.9,136.4,1
270,2.028,4033.5,1117.2,141.6,1
280,2.011,4072.0,1157.9,146.7,1
290,1.961,4006.0,1198.0,151.8,1
300,1.982,4030.8,1238.3,156.9,1
310,1.962,3977.4,1278.0,161.9,1
320,1.984,3951.6,1317.6,166.9,1
330,1.939,4064.4,1358.2,172.1,1
340,2.007,3927.1,1397.5,177.1,1
350,2.017,4072.2,1438.2,182.2,1
360,1.924,3905.0,1477.2,187.2,1
370,1.978,4017.9,1517.4,192.3,1
380,2.029,3944.0,1556.9,197.3,1
390,2.005,4055.1,1597.4,202.4,1
400,2.013,4012.3,1637.5,207.5,1
410,2.019,4079.7,1678.3,212.7,1
420,2.016,4025.9,1718.6,217.8,1
430,2.038,3921.6,1757.8,222.7,1
440,2.016,4047.8,1798.3,227.9,1
450,1.981,3901.3,1837.3,232.8,1
460,1.946,4042.1,1877.7,237.9,1
470,2.031,3990.8,1917.6,243.0,1
480,2.048,3934.4,1957.0,248.0,1
490,1.995,4027.6,1997.3,253.1,1
500,2.019,4016.2,2037.4,258.1,1
510,2.034,4006.0,2077.5,263.2,1
520,1.988,3966.9,2117.1,268.3,1
530,2.001,4052.1,2157.7,273.4,1
540,2.028,3956.0,2197.2,278.4,1
550,1.987,4073.3,2238.0,283.6,1
560,1.996,3931.0,2277.3,288.5,1
570,1.991,3992.5,2317.2,293.6,1
580,1.969,4070.2,2357.9,298.8,1
590,1.962,4063.0,2398.5,303.9,1
600,2.019,3960.6,2438.1,308.9,1
610,2.026,4056.4,2478.7,314.1,1
620,2.004,4017.3,2518.9,319.2,1
630,2.017,4007.6,2558.9,324.2,1
640,2.008,3991.2,2598.9,329.3,1
650,2.000,4028.6,2639.1,334.4,1
660,2.017,4038.2,2679.5,339.5,1
670,2.010,4100.5,2720.5,344.7,1
680,1.989,3978.6,2760.3,349.7,1
690,2.028,3999.3,2800.3,354.8,1
700,2.012,3983.2,2840.1,359.9,1
710,1.923,4091.9,2881.1,365.0,1
720,2.007,3943.8,2920.5,370.0,1
730,2.007,4019.9,2960.7,375.1,1
740,2.020,3978.4,3000.5,380.2,1
750,1.984,4014.1,3040.6,385.3,1
760,2.011,4121.5,3081.8,390.5,1
770,1.997,3972.3,3121.6,395.5,1
780,1.998,3988.7,3161.5,400.6,1
790,1.985,3863.6,3200.1,405.5,1
800,1.965,4050.4,3240.6,410.6,1
810,2.029,3996.7,3280.6,415.7,1
820,2.045,4042.8,3321.0,420.8,1
830,1.989,3914.9,3360.1,425.7,1
840,2.019,3983.0,3400.0,430.8,1
850,1.920,4054.6,3440.5,435.9,1
860,1.957,4054.4,3481.1,441.1,1
870,1.955,4034.2,3521.4,446.2,1
880,2.036,4008.8,3561.5,451.3,1
890,2.006,3992.5,3601.4,456.3,1
900,2.004,4039.9,3641.8,461.4,1
910,2.046,3995.6,3681.8,466.5,1
920,1.991,4052.4,3722.3,471.6,1
930,1.966,4137.3,3763.7,476.9,1
940,1.992,4045.7,3804.1,482.0,1
950,2.021,4006.6,3844.2,487.1,1
960,2.019,4011.1,3884.3,492.2,1
970,1.955,3923.6,3923.5,497.1,1
980,1.971,4030.7,3963.8,502.2,1
990,1.956,3948.7,4003.3,507.2,1
1000,2.022,4063.3,4044.0,512.4,1
1010,1.972,4073.7,4084.7,517.5,1
1020,1.966,4000.1,4124.7,522.6,1
1030,2.048,4038.3,4165.1,527.7,1
1040,2.047,3955.5,4204.6,532.7,1
1050,1.995,4049.4,4245.1,537.9,1
1060,2.042,3901.4,4284.1,542.8,1
1070,1.982,3995.2,4324.1,547.9,1
1080,2.012,4020.0,4364.3,553.0,1
1090,1.969,4074.9,4405.0,558.1,1
1100,2.045,4056.8,4445.6,563.3,1
1110,1.995,4072.6,4486.3,568.4,1
1120,2.031,3962.8,4526.0,573.5,1
1130,2.004,4005.8,4566.0,578.5,1
1140,1.992,4071.2,4606.7,583.7,1
1150,1.988,3885.2,4645.6,588.6,1
1160,2.025,3907.3,4684.7,593.6,1
1170,1.982,4015.9,4724.8,598.7,1
1180,2.025,3999.5,4764.8,603.7,1
1190,2.040,4003.9,4804.9,608.8,1
1200,2.031,3996.9,4844.8,613.9,1
1210,2.048,4074.6,4885.6,619.0,1
1220,2.026,3966.4,4925.2,624.0,1
1230,1.967,3906.2,4964.3,629.0,1
1240,2.032,3901.9,5003.3,633.9,1
1250,2.000,3938.4,5042.7,638.9,1
1260,1.999,3990.4,5082.6,644.0,1
1270,2.007,3970.4,5122.3,649.0,1
1280,2.001,4089.6,5163.2,654.2,1
1290,2.030,4026.5,5203.5,659.3,1
1300,1.962,3990.1,5243.4,664.4,1
