t_h,Vcap_V
0,2.619
1,2.349
2,2.457
3,2.32
4,2.382
5,2.488
6,2.509
7,2.368
8,2.35
9,2.471
10,2.47
11,2.378
12,2.392
13,2.392
14,2.368
15,2.393
16,2.49
17,2.461
18,2.53
19,2.423
20,2.42
21,2.378
22,2.421
23,2.361
24,2.338
25,2.462
26,2.499
27,2.469
28,2.494
29,2.44
30,2.391
31,2.431
32,2.408
33,2.371
34,2.342
35,2.353
36,2.427
37,2.435
38,2.403
39,2.498
40,2.436
41,2.456
42,2.488
43,2.386
44,2.329
45,2.465
46,2.393
47,2.493
48,2.444
49,2.477
50,2.465
51,2.323
52,2.463
53,2.393
54,2.389
55,2.405
56,2.465
57,2.471
58,2.478
59,2.344
60,1.497
61,1.408
62,1.522
63,1.557
64,1.489
65,1.539
66,1.539
67,1.577
68,1.486
69,1.486
70,1.489
71,1.615
72,1.582
73,1.521
74,1.538
75,1.533
76,1.537
77,1.517
78,1.51
79,1.464
80,1.495
81,2.51
82,2.454
83,2.43
84,2.416
85,2.43
86,2.445
87,2.395
88,2.437
89,2.439
90,2.39
91,2.388
92,2.377
93,2.374
94,2.471
95,2.309
96,2.414
97,2.396
98,2.396
99,2.432
100,2.483
101,2.431
102,2.42
103,2.396
104,2.421
105,2.473
106,2.407
107,2.37
108,2.364
109,2.372
110,2.358
111,2.482
112,2.445
113,2.415
114,2.5
115,2.394
116,2.465
117,2.467
118,2.35
119,2.349
120,2.381
121,2.472
122,2.492
123,2.366
124,2.479
125,2.408
126,2.407
127,2.399
128,2.411
129,2.336
130,2.377
131,2.365
132,2.452
133,2.531
134,2.564
135,2.41
136,2.341
137,2.407
138,2.38
139,2.526
140,2.456
141,2.391
142,2.474
143,2.454
144,2.346
145,2.4
146,2.415
147,2.428
148,2.434
149,2.41
150,2.436
151,2.398
152,2.382
153,2.503
154,2.445
155,2.449
156,2.347
157,2.419
158,2.468
159,2.362
160,2.482
161,2.408
162,2.447
163,2.42
164,2.438
165,2.487
166,2.407
167,2.505
