t_h,Vcap_V
0,2.564
1,2.446
2,2.477
3,2.401
4,2.361
5,2.424
6,2.451
7,2.482
8,2.366
9,2.362
10,2.462
11,2.451
12,2.504
13,2.476
14,2.422
15,2.413
16,2.556
17,2.413
18,2.388
19,2.37
20,2.432
21,2.434
22,2.41
23,2.424
24,2.441
25,2.462
26,2.482
27,2.437
28,2.338
29,2.462
30,2.356
31,2.418
32,2.353
33,2.427
34,2.388
35,2.438
36,2.592
37,2.425
38,2.469
39,2.361
40,2.413
41,2.46
42,2.422
43,2.446
44,2.432
45,2.377
46,2.455
47,2.386
48,2.521
49,2.402
50,2.461
51,2.427
52,2.475
53,2.397
54,2.477
55,2.421
56,2.49
57,2.458
58,2.434
59,2.388
60,2.465
61,2.45
62,2.509
63,2.408
64,2.455
65,2.452
66,2.441
67,2.437
68,2.436
69,2.397
70,2.376
71,2.407
72,2.457
73,2.503
74,2.476
75,2.48
76,2.466
77,2.462
78,2.436
79,2.466
80,2.516
81,2.411
82,2.392
83,2.525
84,2.439
85,2.476
86,2.471
87,2.37
88,2.549
89,2.516
90,2.436
91,2.465
92,2.433
93,2.383
94,2.421
95,2.446
96,2.483
97,2.462
98,2.43
99,2.495
100,2.389
101,2.467
102,2.483
103,2.412
104,2.337
105,2.382
106,2.439
107,2.453
108,2.504
109,2.377
110,2.427
111,2.459
112,2.419
113,2.309
114,2.467
115,2.543
116,2.477
117,2.381
118,2.406
119,2.438
120,2.551
121,2.458
122,2.433
123,2.505
124,2.423
125,2.52
126,2.393
127,2.403
128,2.463
129,2.498
130,2.46
131,2.442
132,2.336
133,2.391
134,2.396
135,2.4
136,2.456
137,2.41
138,2.466
139,2.431
140,2.41
141,2.433
142,2.448
143,2.47
144,2.403
145,2.415
146,2.359
147,2.507
148,2.5
149,2.418
150,2.403
151,2.365
152,2.435
153,2.437
154,2.536
155,2.439
156,2.388
157,2.305
158,2.497
159,2.436
160,2.347
161,2.436
162,2.347
163,2.601
164,2.483
165,2.456
166,2.418
167,2.32
